Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Free TAFE,Job Trainer,Concession,Government subsidised fee,Non-subsidised fee,Currency,Currency_Time,Course_Delivery_Mode,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Melbourne Polytechnic,,Certificate IV in Veterinary Nursing,Agriculture,,,,1310,1235,5550,14300,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/veterinary-nursing/,English,A,"Times are changing for pet ownership in Australia, with more households owning pets than ever which is increasing demand for veterinary services. Over 70% of pet owners now view the role of veterinary services as keeping their pets healthy rather than treating them when they are sick. If you dream of a career taking care of animals, our ACM40418 Certificate IV in Veterinary Nursing will set you on the path to becoming a veterinary nurse. .The ACM40418 Certificate IV in Veterinary Nursing at Melbourne Polytechnic helps you develop a range of animal care skills including clinical and surgical routines. Developed with our veterinary industry partners, the course focuses on practical learning that reflects real life scenarios.  .Practice clinical skills in our purpose-built veterinary precinct, Melbourne Polytechnic’s Veterinary Nursing Learning Centre, which includes extensive simulated veterinary practice suites. You’ll be trained by enthusiastic, industry-experienced teachers in a range of areas from reception duties to clinical pathology, radiology, theatre routines, dental nursing and general animal care.",Veterinary Nurse,Australia,Yes,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Veterinary Nursing,Agriculture,495,495,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/animation/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Veterinary Nursing,Agriculture,495,495,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/textile-art/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Veterinary Nursing,Agriculture,375,375,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/farm-fencing/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Veterinary Nursing,Agriculture,750,750,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/grid-connect-install-for-qualified-electricians/,English,A,,,Australia,,,,,,
DIP,Melbourne Polytechnic,,Diploma of Accounting,Business & Commerce & Finance & Accounting,7000,,250,250,915,3950,6750,AUD,Years,Normal,6,Months,Yes,,Year 12,IELTS,ATAR ,12,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/accounting/,English,A,"Put your analytical mind to use in an international industry .If you have a head for numbers and your eye on the financial industry, Melbourne Polytechnic’s Diploma of Accounting will prepare you for employment in the industry within six months, as a qualified assistant accountant. Support clients with regular financial monitoring and analysis, preparation of documents, reports and accounts advice. With only 67% of vacancies for accountants filled in the past year, your skills will always be in demand. .Balance your skills with industry experience .Melbourne Polytechnic’s accounting students benefit from instructors and exercises that have been integrated from the industry. Your teachers have real-world experience as tax agents, BAS agents and CPAs, and guest lecturers from peak industry accounting bodies will share their knowledge and their networks. This course also provides an alternate pathway to the Bachelor of Accounting for students who have not completed secondary schooling in Australia.",Tax Specialist/ Financial Analyst/ Accounting Clerk/ Payroll Officer/ Auditor/ Account Manager/ Bookkeeper,Australia,Yes,Yes,,,Yes,
ADIP,Melbourne Polytechnic,,Advanced Diploma of Jewellery and Object Design,Creative Arts & Design & Music,15228,,,,4025,19500,23550,AUD,Years,Normal,2,Years,Yes,,Year 12,IELTS,ATAR ,12,5.5,,https://www.melbournepolytechnic.edu.au/study/advanced-diploma/jewellery-and-object-design/,English,A,"Design your future in jewellery .Pursue your passion and emerging career in jewellery with Melbourne Polytechnic’s Advanced Diploma of Jewellery and Object Design. Refining the specialist skills learnt in your Diploma, this course introduces you to the advanced jewellery making techniques that will allow you to design and create beautiful objects of value and sentiment. .Learn from gems of the industry .Working within modern, light-filled, industry-standard workshops, Melbourne Polytechnic’s jewellery teachers have advanced knowledge in both traditional and contemporary design and techniques. In order to prepare you for the job marketplace, this course will also introduce and instruct you in the fields of design development, production jewellery, small business set-up and exhibition planning and design. This course culminates in a graduate exhibition giving students the opportunity to showcase their work to family, friends, and industry specialists. Melbourne Polytechnic has an excellent reputation for jewellery and object design, with students winning a number of industry-recognised and prestigious awards including the JAA Australasian Jewellery Awards, WorldSkills competition, Nationwide Jewellers’ Apprentice of the Year, Design Institute of Australia’s Graduate of the Year and even the Lord Coconut Melbourne Cufflink Prize.",Jewellery Designer/ Jewellery Technical Assistant/ Jewellery Studio Technician/ Jeweller/ Jewellery Repairer,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Floristry,Creative Arts & Design & Music,,,,,2250,5325,10125,AUD,Years,Normal,1,Years,Yes,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/floristry/non-apprenticeship/,English,A,"This is the non-apprenticeship version of the course. For the apprenticeship, please go here. .Help your floristry skills bloom .Experience first-hand insight into the world of floristry with Melbourne Polytechnic’s Certificate III in Floristry (Non-Apprenticeship stream). This course will prepare you with the fundamentals of the floristry trade from design through to creation of floral arrangements. In Australia’s steady floristry industry, skilled and creative florists are always in demand. You’ll learn hands-on experience in a range of floral techniques, allowing your skill set to flourish like never before. You’ll receive hands-on experience unlike any other in the flourishing floristry industry. .Advanced experience and knowledge .You’ll learn industry-ready techniques for the floristry sector, from an array of experienced trade professionals. With qualified industry leaders guiding you throughout your course, you will be instructed in flower and foliage identification and design and display processes, as well as retail skills and customer service. You will also cover complex floral design and construction techniques and business-oriented skills, including customer consultation and quotation. Melbourne Polytechnic’s partnership with Flowers Victoria and the Nursery and Garden Industry of Victoria will allow you to assist during the Melbourne International Flower and Garden Show, and enter competitions. Our students have frequently won awards at the Melbourne International Flower and Garden Show, including the intermediate and advanced Student Floral Design Competition and the overall stall competition.",,Australia,Yes,Yes,,,,
DIP,Melbourne Polytechnic,,Diploma of Auslan,,16900,,,,815,3450,28400,AUD,Years,Normal,N/A,N/A,Yes,,Year 12,IELTS,ATAR ,,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/auslan/,English,A,"Take the next step towards becoming an interpreter .Take your Auslan skills to the top with Melbourne Polytechnic’s Diploma of Auslan PSP51018. This accredited diploma will bring your Auslan skills together to help you communicate at an advanced and professional level with Deaf and hard of hearing people. Employment opportunities using Auslan are increasing and are necessary across a broad range of industries, from the disability sector to entertainment. .Apply your skills in real life .Melbourne Polytechnic’s Diploma of Auslan is an advanced language course, combining all of the skills you’ve learned throughout our unique Auslan pathway. As you advance your skills, you’ll develop further skills and understanding of social and educational conditions for the Australian Deaf community. Melbourne Polytechnic has a long history within the disability sector, and as Victoria’s sole provider of this accredited pathway to learning Auslan, you will have opportunities to participate in Deaf community-based activities and events with our industry partners. This will include an Immersion Program with Expressions Australia which will give your real-world experience that will increase your employability before you even graduate.",,Australia,,,,,Yes,
VOC,Melbourne Polytechnic,,Certificate III in Bricklaying Blocklaying,"Architecture, Building & Planning",26752,,,,,,22565,AUD,Years,Normal,1,Years,Yes,,Year 12,IELTS,ATAR ,12,5.5,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/bricklaying-blocklaying/non-apprenticeship/,English,A,"This is the non-apprenticeship version of the course. For the apprenticeship, please go here. .Lay the foundation for a great career .Building and construction is a fast-growing industry in Australia, generating over $350 billion in revenue and producing around 8% of Australia’s Gross Domestic Product. There has never been a better time to be a qualified bricklayer or blocklayer, as these skills are always in demand. If you like working outdoors, have good hand-eye coordination and can work neatly and accurately, Melbourne Polytechnic’s Certificate III in Bricklaying Blocklaying is the perfect course to cement your construction career and fast-track your way to a job on a commercial or domestic worksite. .Learn in a real world setting .This is a practical course that covers all the essential skills and knowledge you’ll need as a bricklayer or blocklayer, including laying bricks and blocks, levelling, general demolition, veneer construction, structural masonry, arch design and construction and fireplace construction. Studying at Melbourne Polytechnic’s cutting-edge Heidelberg campus, you’ll work on full-size projects with real world challenges in Victoria’s most technologically advanced building and construction facilities. Melbourne Polytechnic’s instructors are qualified, industry-experienced practitioners, who will support you with in-depth training and self-paced learning resources. You can also choose the apprenticeship stream and get paid while you learn on site with your employer.",Construction Site Tradesperson/ Labourer/ Subcontractor/ Bricklayer,Australia,,Yes,,,Yes,
DIP,Melbourne Polytechnic,,Diploma of Event Management,Business & Commerce & Finance & Accounting,15500,,,,1645,7200,10950,AUD,Years,Normal,1,Years,Yes,,Year 12,IELTS,ATAR ,11,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/event-management/,English,A,"Create memorable experiences .If you’ve dreamed of creating a music festival, organising innovative corporate events or planning beautiful weddings, Melbourne Polytechnic’s Diploma of Event Management will give you the skills you need to make your dreams come true. Develop practical organisational skills essential for a career in the fast-paced events management industry. You will learn a broad spectrum of applicable skills, including how to operate independently. Events management alone is an $8 billion industry in Australia and the skills you’ll learn can take you into creating amazing experiences across any industry. .Get real world experience on a range of events .Events management is a diverse industry, whether you’re creating events and experiences for 50 people or 50,000 people - the skills you’ll need are the same. Melbourne Polytechnic’s Diploma of Event Management will prepare you to manage events locally or international, teaching you about budgeting, people management, ticketing, staging and audio and lighting production. You’ll get real world experience when you assist in organising events at Melbourne Polytechnic. Through our industry connections, you’ll also have the opportunity for volunteer, or even paid, work at festivals, conferences and major cultural and sporting events. Our industry-qualified staff will guide you through the course, sharing industry insider knowledge and tips and tricks learned from years of experience.",,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Floristry,Creative Arts & Design & Music,,,,,2250,5325,10125,AUD,Years,Normal,3,Years,,Yes,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/floristry/apprenticeship/,English,A,"This is the apprenticeship version of the course. For the non-apprenticeship, please go here. .Help your floristry skills bloom .Experience first-hand insight into the world of floristry with Melbourne Polytechnic’s Certificate III in Floristry (Apprenticeship stream). This apprenticeship will prepare you with the fundamentals of the floristry trade from design through to creation of floral arrangements. In Australia’s steady floristry industry, skilled and creative florists are always in demand. You’ll learn hands-on experience in a range of floral techniques, allowing your skill set to flourish like never before. .An industry-recognised education .At Melbourne Polytechnic, you’ll receive top-level training from experienced florists. You’ll learn skills in flower and foliage identification and design and display processes, as well as retail skills and customer service to make sure you’re job-ready.You will also cover complex floral design and construction techniques and business-oriented skills, including customer consultation and quotation.  Melbourne Polytechnic’s partnership with Flowers Victoria and the Nursery and Garden Industry of Victoria will allow you to assist during the Melbourne International Flower and Garden Show, and enter competitions. Our students have frequently won awards at the Melbourne International Flower and Garden Show, including the intermediate and advanced Student Floral Design Competition and the overall stall competition.",Studio Florist/ Events Floristry Assistant/ Retail Floristry Assistant/ Floristry Assistant,Australia,Yes,Yes,,,,
VOC,Melbourne Polytechnic,,VCAL in Victorian Certificate of Applied Learning (Intermediate) Ticket to a Trade,Business & Commerce & Finance & Accounting,,,,,535,1850,8850,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/vcal/victorian-certificate-of-applied-learning-intermediate-ticket-to-a-trade/ticket-to-a-trade/,English,A,"Kickstart your career in a trade .If you’re interested in being a tradie, but you’re not sure which trade is the right one, the Victorian Certificate of Applied Learning (VCAL) Ticket to a Trade (Intermediate) is the path for you! This six-month course will give you the opportunity to try a variety of trades and take control of your career. With construction trades making up the majority of industries with massive skill shortages in Australia, there’s never been a better time to try a trade and get qualified. .Feel supported while you study .Melbourne Polytechnic’s VCAL Ticket to a Trade (Intermediate) course is a unique offering for young people who have not finished Year 12, but want to move into further study and qualified employment. Learn in an environment that’s not like high school. You’ll improve your literacy, numeracy, personal and work skills and take taster classes in the building and construction trades. Careers counselling is central to this course. You’ll have friendly and approachable teachers that are experts at working with young people supporting you while you study. As you try different trades, our Student Pathways Advisors will help you decide which trade you might like to do in the future.",,Australia,,Yes,,,Yes,
,Melbourne Polytechnic,,VCAL in Koorie VCAL,,,,,,535,1850,8850,AUD,Years,Normal,15,Years,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/vcal/koorie-vcal/,English,A,"Melbourne Polytechnic’s Koorie VCAL Foundation program offers a recognised Year 10 equivalency. Our Koorie VCAL program has been designed to re-engage young members of the Koorie community who want to get back into school.  This program has a cultural focus that includs projects working with Elders, personal development skills and access to new Tech School facilities.  If you’re still at school, or even if you have left, and if you’re older than 15 years old, and identify as a member of the Koorie community this course is a great way to get back into school and broaden your options for further study or work. The program is supported by Melbourne Polytechnic’s Koorie Services staff during all sessions.",,Australia,,Yes,,,Yes,
,Melbourne Polytechnic,,VCAL in Koorie VCAL,,510,510,,,,,,AUD,Years,Normal,,Year(s),,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/short-courses/lea-licensed-electrician-theory-let-tutorial/,English,A,,,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Agriculture,Agriculture,,,250,250,1118,4965,7950,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/agriculture/,English,A,"Grow your expertise .Build your leadership potential with a Certificate IV in Agriculture. Gain or nurture specialist skills in farming such as animal breeding, costing and crop establishment, improvement and harvest. Take on supervisory roles as you learn how to run a working farm. .Develop your abilities .By combining practical scientific knowledge with business and management skills, this course equips you for a fulfilling career on the land. Build applied skills for leadership and management roles in agricultural enterprises and businesses that service the food production sector.",Farm Manager/ Agricultural Industry Supervisor/ Farm Operator/ Team Leader,Australia,,,,,Yes,
VOC,Melbourne Polytechnic,,Certificate III in Visual Arts,Creative Arts & Design & Music,,,,,665,2700,7300,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/visual-arts/,English,A,"Create a future in visual arts .The Certificate III in Visual Arts course is designed to introduce students to a range of art forms and develop skills and confidence in using a range of techniques. The course has a practical hands-on focus where students are provided with highly structured tasks and in-depth instruction by specialist subject teachers. Australia’s arts sector is worth almost $400 million annually and Melbourne has a thriving visual arts scene, with over 100 art galleries in the metropolitan area alone.",,Australia,,Yes,,,,
